date,region,commodity,price
2026-08-13,national,tomato,2341.62
2026-08-13,national,onion,1817.35
2026-08-13,national,potato,1249.01
2026-08-13,national,brinjal,1496.25
2026-08-13,tn,tomato,2147.2
2026-08-13,tn,onion,1658.21
2026-08-13,tn,potato,1089.0
2026-08-13,tn,brinjal,1328.72
2026-08-18,national,tomato,2273.1
2026-08-18,national,onion,1774.6
2026-08-18,national,potato,1170.25
2026-08-18,national,brinjal,1470.25
2026-08-18,tn,tomato,2119.82
2026-08-18,tn,onion,1634.7
2026-08-18,tn,potato,1046.05
2026-08-18,tn,brinjal,1359.17
2026-08-19,national,tomato,2274.95
2026-08-19,national,onion,1808.48
2026-08-19,national,potato,1238.41
2026-08-19,national,brinjal,1462.42
2026-08-19,tn,tomato,2190.33
2026-08-19,tn,onion,1697.48
2026-08-19,tn,potato,1061.65
2026-08-19,tn,brinjal,1356.48
2026-08-20,national,tomato,2289.01
2026-08-20,national,onion,1832.29
2026-08-20,national,potato,1243.43
2026-08-20,national,brinjal,1497.38
2026-08-20,tn,tomato,2144.49
2026-08-20,tn,onion,1657.83
2026-08-20,tn,potato,1096.3
2026-08-20,tn,brinjal,1372.14
